Name; Value; Type; Description
dota_draw_portrait; 1; cl, cheat; 
dota_dump_all_player_stats; cmd; ; 
dota_dump_bot_state; cmd; ; 
dota_dump_buff_message_count; cmd; ; 
dota_dump_client_asset_modifiers; cmd; ; Dump asset modifiers on the client.
dota_dump_connection_stats; cmd; ; Dump current connection stats
dota_dump_creep_stats; cmd; ; Displays stats on creep denies/lasthits/kills.
dota_dump_hero_history; cmd; ; Dump items and abilities that a hero has bought/leveled
dota_dump_inventory; cmd; ; 
dota_dump_keybindings; 0; cl; 
dota_dump_server_asset_modifiers; cmd; ; Dump asset modifiers on the server.
dota_dump_server_inventory; cmd; ; 
dota_easy_mode; 0; sv, rep; 
dota_easybuy; 0; sv, rep, cheat; Everything is free, all shops are in range, and you can purchase for other heroes
dota_echoslam_max_projectiles; 75; sv, cheat; 
dota_effective_creep_spawn_time; 0; sv, cheat; If non-zero, the time the creep spawner uses for deciding what to spawn
dota_enable_direct_quickcast_bindings; false; per-user; 
dota_enable_range_finder; true; per-user; 
dota_endgame_cinematic_disable; 0; sv, rep; 
dota_enemy_color_b; 0; cl; 
dota_enemy_color_b_cb; 0; cl; 
dota_enemy_color_g; 0; cl; 
dota_enemy_color_g_cb; 0; cl; 
dota_enemy_color_r; 1; cl; 
dota_enemy_color_r_cb; 1; cl; 
dota_entity_count_grace_threshold; 128; sv; Number of entities to reserve when we're getting close to the limit. Stops some entities from spawning.
dota_event_goal_update_delay; 300; cl; 
dota_experimental_stats_interval; 60; sv; Seconds between each experimental stat update.
dota_export_steam_inventory_layout; cmd; ; Save the inventory layout to the Steam servers.
dota_export_steam_inventory_layout_flow; cmd; ; Save the inventory layout to the Steam servers.
dota_fake_accept_slots; 10; cl; 
dota_fake_control_groups; 0; cl; 
dota_fake_custom_killbanner; 1; cl, a; 
dota_fake_gc_connection_state; -1; cl; 
dota_fake_gc_est_time; -1; cl; 
dota_fake_gc_queue_pos; -1; cl; 
dota_fake_lobby_browser_data; 0; cl; 
dota_fake_lobby_count; 100; cl; 
dota_fake_party_games; -2; cl; 
dota_fake_party_rank; -2; cl; 
dota_fake_pending_connect; 0; cl; 
dota_fake_solo_games; -2; cl; 
dota_fake_solo_rank; -2; cl; 
dota_fanfare_disable; 0; sv; 
dota_fantasy_stat_update_interval_s; 10; sv, cheat; How often the server updates the GC with player fantasy stats
dota_fetch_match_metadata; cmd; ; Fetch match metadata
dota_fight_recap_ability_level; -1; cl, a; 
dota_fight_recap_bounce; 0; cl; 
dota_fight_recap_disable; 0; cl; 
dota_fight_recap_pause; 0; cl, a; 
dota_fight_recap_terse; 0; cl, a; 
dota_force_bot_cycle; 0; sv; Set automatically by matchmaking to fill slots with bots
dota_force_cooldown; 0; cl; 
dota_force_default_death_stinger; true; per-user; 
dota_force_default_respawn_stinger; false; per-user; 
dota_force_end_scores; 0; cl, cheat; 
dota_force_gamemode; 1; sv, rep; Force the game mode to a specific one. AP = 1, CM = 2, RD = 3, SD = 4. INTRO = 6. 7 = HW. 8 = REVERSE CM. 9 = XMAS
dota_force_pick_allow; 0; sv, rep; 
dota_force_right_click_attack; false; per-user; 
dota_force_upload_match_stats; 0; sv, cheat; If enabled, server will upload match stats even when there aren't human players on each side
dota_fountain_idle_minimum_time; 600; sv; How long into the game we need to be before we boot players for being intentionally Idle.
dota_fow_grid_size; 64; sv, rep; 
dota_free_ids; cmd; ; Shows next free ID for items, abilities and heroes.
dota_friendly_color_b; 0; cl; 
dota_friendly_color_b_cb; 1; cl; 
dota_friendly_color_g; 1; cl; 
dota_friendly_color_g_cb; 0; cl; 
dota_friendly_color_r; 0; cl; 
dota_friendly_color_r_cb; 0; cl; 
dota_frontpage_carousel_cycle_time; 4; cl; 
dota_frontpage_carousel_refresh_time; 15; cl; 
dota_full_ui; 1; cl; Unlock the full UI
dota_game_account_debug; cmd; ; Prints game account info
dota_gamemode_ability_draft_per_player_time; 5; sv, rep; Total time in seconds a player has to draft an ability
dota_gamemode_ability_draft_pre_round_time; 10; sv, rep; Break between rounds
dota_gamemode_ability_draft_pre_time; 60; sv, cheat; 
dota_gamemode_ability_draft_test_hero; 0; sv, cheat; Forced hero id
dota_gamemode_ardm_hero_count; 90; sv, cheat; 
dota_gamemode_ardm_preload_count; 10; sv, cheat; 
dota_gamemode_ardm_sellback_percent; 0; sv, rep, cheat; 
dota_gamescom_althack; 0; cl, a; QWE and ASD + Alt = inventory keys.
dota_gamestate; cmd; ; Print current game state
dota_get_team_info; cmd; ; 
dota_gg_call_time; 10; sv, rep; 
dota_glyph; cmd; ; trigger the Glyph of Fortification for your team
dota_gold_redistribute_time; 1; sv, cheat; 
dota_gold_summary; cmd; ; Print out gold info
dota_greevil_black_essence; -1; sv, cheat; 
dota_greevil_blue_essence; -1; sv, cheat; 
dota_greevil_green_essence; -1; sv, cheat; 
dota_greevil_orange_essence; -1; sv, cheat; 
dota_greevil_purple_essence; -1; sv, cheat; 
dota_greevil_red_essence; -1; sv, cheat; 
dota_greevil_seed; -1; sv, cheat; 
dota_greevil_white_essence; -1; sv, cheat; 
dota_greevil_yellow_essence; -1; sv, cheat; 
dota_gridnav_perf_test; cmd; ; 
dota_gridnav_show; 0; sv, cheat; 
dota_grinder_snap_to_damage; 0; cl, cheat; 
dota_hack_delay_start; 0; sv; 
dota_health_hurt_decay_time_max; 0; cl; 
dota_health_hurt_decay_time_min; 0; cl; 
dota_health_hurt_delay; 0; cl; 
dota_health_hurt_threshold; 0; cl; 
dota_health_marker_major_alpha; 255; cl; 
dota_health_marker_minor_alpha; 128; cl; 
dota_health_per_vertical_marker; 250; cl; How much health between each vertical line in the health bars
dota_height_fog_scale; 1; cl, cheat; 
dota_hero_auto_graball; 0; cl; 
dota_hero_god_mode; 0; sv, cheat; 
dota_hero_multiple_kill_time; 18; sv; 
dota_hero_selection_announcer_use_rr; 1; cl; If enabled, use response rules for hero selection announcer lines
dota_hero_tooltip; 1; cl; Style of the hero tooltip. 0=Corner 1=Overhead 2=Inline overhead
dota_hero_undying_max_zombies; 64; sv; Maximum amount of zombies that can be spawned.
dota_heropicker_ad_select_time; 10; sv, cheat; 
dota_heropicker_alldraft_banning_time; 15; sv, rep, cheat; 
dota_heropicker_alldraft_random_time; 11; sv, rep, cheat; 
dota_heropicker_alldraft_select_time; 36; sv, rep, cheat; 
dota_heropicker_ap_select_time; 75; sv, cheat; 
dota_heropicker_ar_select_time; 10; sv, cheat; 
dota_heropicker_ardm_select_time; 10; sv, cheat; 
dota_heropicker_fh_select_time; 60; sv, cheat; 
dota_heropicker_intro_select_time; 180; sv, cheat; 
dota_heropicker_rd_select_time; 20; sv, rep, cheat; 
dota_heropicker_sd_select_time; 60; sv, cheat; 
dota_heropicker_tutorial_select_time; 599; sv; 
dota_hide_cursor; 0; cl; If set, mouse cursor is always hidden
dota_hide_frontpage_video; 1; cl, a; Don't load the frontpage streaming video.
dota_hide_tips_on_loading_screens; false; per-user; 
dota_hide_wearables; 0; sv, rep, cheat; If set, wearables (default body parts) will be hidden. This is for the item icon editor.
dota_highest_seen_item_id; 8333980530; per-user; 
dota_highlight_reel; 0; cl; 
dota_highlight_reel_debug; 0; cl, cheat; 
dota_highlight_reel_leadin_seconds; 13; cl; 
dota_highlight_reel_leadout_seconds; 5; cl; 
dota_highlight_reel_matchid; 0; cl; 
dota_highlight_reel_playerid; -1; cl; 
dota_highlight_reel_running_time; 180; cl; 
dota_hold; cmd; ; 
dota_html_panel; 0; cl; enable dota html control in dashboard
dota_hud_colorblind; 0; per-user; 
dota_hud_custom_label_offset; 16; cl; 
dota_hud_debug_name_all_entities; 0; cl; If set, shows debug names for all entities.
dota_hud_flip; false; per-user; 
dota_hud_force_wagering; 0; cl, cheat; 
dota_hud_gameend; 0; cl; 
dota_hud_gameend_dev; 0; cl; 
dota_hud_gameend_dev_winning_team; 2; cl; 
dota_hud_healthbar_hoveroutline_alpha; 200; cl; Mouse hover outline brightness on healthbars
dota_hud_healthbar_number; true; per-user; 
dota_hud_healthbar_number_critical; 20; cl; Percentage of health left before hitpoint number turns red (value between 1-100)
dota_hud_healthbar_number_danger; 40; cl; Percentage of health left before hitpoint number turns orange (value between 1-100)
dota_hud_healthbars; 3; cl; Show unit health bars, etc.
dota_hud_netgraph; 1; cl, a; Display net statistics on the hud
dota_hud_radar_h; 0; cl; 
dota_hud_radar_w; 0; cl; 
dota_hud_radar_x; 0; cl; 
dota_hud_radar_x_flipped; 1; cl; 
dota_hud_radar_y; 0; cl; 
dota_hud_reduced_flash; 0; cl, a; Reduce flashing in various gameplay effects.
dota_hud_show_overhead_events; 1; cl; Show Crit, Gold, XP, etc. Overhead Event Messages
dota_hud_unit_info; 0; cl; Show health bars, etc.
dota_hud_victory_message_delay; 4; cl; Delay before showing victory message in game end
dota_hud_victory_message_duration; 4; cl; Duration victory message is shown in game end
dota_hud_wager_spoof; cmd; ; Spoof a wager for a specific player
dota_ice_grip; 500; sv; 
dota_ice_grip_skates; 2000; sv; 
dota_ice_slide; 1; sv; 
dota_idle_acquire; 1; sv, cheat; 
dota_idle_rare_interval_max; 25; sv, cheat; 
dota_idle_rare_interval_min; 15; sv, cheat; 
dota_idle_time; 360; sv; How long a player needs to be idle before he counts as disconnected.
dota_ignore_nonfriend_invites; false; per-user; 
dota_import_steam_inventory_layout; cmd; ; Load the inventory layout from the Steam servers.
dota_intro_mode; 0; sv, rep; 
dota_inventory_combine_ground_items_radius; 200; sv, cheat; 
dota_invite_debug; cmd; ; Prints local invite objects
dota_item_autocast; cmd; ; 
dota_item_execute; cmd; ; 
dota_item_free_disassemble_interval; 10; sv, rep, cheat; 
dota_item_fullprice_buyback_interval; 10; sv, rep, cheat; 
dota_item_quick_cast; cmd; ; 
dota_join_regional_chat_channel; false; per-user; 
dota_joystick; 0; cl; 
dota_keybindings_cloud_disable; 0; cl; 
dota_kill_all_bots; cmd; ; Destroys all bots
dota_kill_buildings; cmd; ; Kill buildings.
dota_kill_creeps; cmd; ; Kill creeps.
dota_killcam_history_time; 20; sv, rep; 
dota_last_hit_multiple_kill_time; 8; sv; 
dota_learn_stats; cmd; ; Spend an ability point on hero stats
dota_leaver_status; cmd; ; List leaver status of players
dota_leftclick_cameragrip_new; false; per-user; 
dota_legacy_demo_combine; 1; cl, rep; 
dota_lenient_idle_time; 480; sv; How long a player needs to be idle before he counts as disconnected during the end stages of the game.
dota_letterbox_mode_fade_duration; 5; cl, cheat; 
dota_load_all_hero_sounds; cmd; ; Loads all hero sound entries, for diagnostics
dota_load_game_from_replay; cmd; ; Load a save game from the closet save before the current replay point
dota_loadout_test_pet_offset; -16777216; cl, cheat; 
dota_lobby_browser_selected_gamemode; 0; cl, a; 
dota_lobby_browser_selected_region; 0; cl, a; 
dota_lobby_debug; cmd; ; Prints local lobby objects
dota_lobby_settings_advanced_visible; 0; cl, a; 
dota_local_event_difficulty; 0; sv, rep; 
dota_local_event_enable; 0; sv, rep; 
dota_local_event_game; 0; sv, rep; 
dota_local_event_map; 0; sv, rep; 
dota_log_server_connection; 1; cl; Log connections to the server
dota_log_server_connection_logfile; 0; cl; Name of the file to log server connections too
dota_map_locations_debug; cmd; ; Prints map location objects
dota_map_ping_multi_key_press; 0; cl; If true, we can ping the map even if we have multiple keys pressed on the keyboard. Otherwise map pinging will only occur if alt is the only key pressed.
dota_map_preload; 0; sv; Enable pre-loading of the dota map
dota_match_details; cmd; ; Show match details for a specific matchID
dota_match_game_modes; 2; cl, a; Bit masks of game modes to search for in unranked matchmaking
dota_match_game_modes_version; 1; cl, a; Which version of the defaults the player is running
dota_match_languages; 6; cl, a; Bit masks of languages to search for in matchmaking
dota_match_map_preference_new; 1; cl, a; 1=Classic only, 2=Themed map (if available), 3=either
dota_match_signout_timeout; 10; sv, cheat; 
dota_matchgroups; 128; cl, a; Bit masks of match groups to search in for matchmaking
dota_matchgroups_automatic; 524420; cl, a; Bit mask of match groups to search in for matchmaking if automatic detection is enabled
dota_matchgroups_random_data; 0; cl; 
dota_matchgroups_version; 0; cl, a; Last known match groups version.  GC will bump this version to trigger confirmation of any manual user selections
dota_max_courier_purchase_limit; 24; sv; Maximum allowed couriers per player (purchasing disallowed when reached)
dota_max_disconnected_time; 300; sv; How long a player needs to be disconnected before he counts as a leaver and gets punished.
dota_max_hero_select_time; 390; sv; How long a player has to choose their hero before being marked as AFK.
dota_max_invade_path_length; 1000; sv, cheat; 
dota_max_pets; 10; sv, rep, cheat; Number of pets allowed in a single match.
dota_max_physical_items_drop_limit; 6; sv; Maximum allowed physical items on ground per player for split items (tango/wards)
dota_max_physical_items_purchase_limit; 24; sv; Maximum allowed physical items per player (purchasing disallowed when reached)
dota_max_videomode_matches; 15; cl; Max number of video resolutions to show in UI.
dota_minimap_always_draw_hero_icons; false; per-user; 
dota_minimap_create; cmd; ; Does a bunch of work to create a minimap
dota_minimap_creep_scale; 1; cl; 
dota_minimap_disable_rightclick; 0; cl, a; Disables right clicking on the minimap.
dota_minimap_draw_cocaster_camera; 1; cl, a; 
dota_minimap_draw_fow; 1; cl, cheat; 
dota_minimap_filter_amount; 0; cl; 
dota_minimap_hero_name_shadowsize; 8; cl, a; 
dota_minimap_hero_scalar; false; per-user; 
dota_minimap_hero_scalar_distance; 20; cl; 
dota_minimap_hero_scalar_minimum; 600; cl; 
dota_minimap_hero_size; 1000.000000; per-user; 
dota_minimap_hero_spread; false; per-user; 
dota_minimap_hero_spread_distance; 2; cl; 
dota_minimap_hide_background; false; per-user; 
dota_minimap_misclick_time; 0.000000; per-user; 
dota_minimap_ping_duration; 3; cl, a; 
dota_minimap_ping_tag_duration; 10; cl; 
dota_minimap_rune_size; 500; cl; 
dota_minimap_show_hero_icon; true; per-user; 
dota_minimap_simple_colors; false; per-user; 
dota_minimap_simple_filter; 1; cl; 
dota_minimap_tower_defend_distance; 500; cl; 
dota_minimap_use_dynamic_mesh; 1; cl; 
dota_modifier_debug; 0; sv, rep, cheat; 
dota_modifier_dump; cmd; ; Dump all modifiers on all entities.
dota_modifier_test; cmd; ; Creates a test modifier on unit: dota_modifier_test <entityindex> <modifiername> <duration>
dota_mouse_spectator_window_lock; 0; cl, a; If enabled, mouse will be locked to the window when in game and spectating in a mode that doesn't give camera control
dota_mouse_window_lock; 1; cl, a; If enabled, mouse will be locked to the window when ingame
dota_music_battle_debug; 0; sv; 
dota_music_battle_distance; 1000; sv; 
dota_music_battle_duration; 2; sv; 
dota_music_battle_enable; 1; sv; 
dota_music_battle_pre_time; 2; sv; 
dota_music_battle_rest_time; 10; sv; 
dota_music_battle_weight_trigger; 40; sv; 
dota_music_enable_spectator_mode; 1; sv, rep; 
dota_music_gank_enemy_timer; 2; sv; 
dota_music_spectator_battle_average; 30; cl; 
dota_music_spectator_battle_min; 15; cl; 
dota_music_spectator_debug_enable; 0; cl; 
dota_mute_cobroadcasters; 0; cl, a, user; 
dota_neutral_color_b; 1; cl; 
dota_neutral_color_b_cb; 1; cl; 
dota_neutral_color_g; 1; cl; 
dota_neutral_color_g_cb; 1; cl; 
dota_neutral_color_r; 1; cl; 
dota_neutral_color_r_cb; 1; cl; 
dota_neutral_initial_spawn_delay; 30; sv, rep, cheat; Time after 0:00 to spawn the first wave of creeps.
dota_neutral_spacing_radius; 100; sv, rep, cheat; Range that neutrals will be spaced apart from each other.
dota_neutral_spawn_interval; 60; sv, rep, cheat; Time between neutral creep camp respawns, starting at 0:00.
dota_no_minimap; 0; cl; 
dota_ogs_report_interval; 120; sv; When in 'heartbeat' dota_ogs_report_vprof mode, the number of seconds between reports
dota_ogs_report_vprof; 0; sv; Control reporting of vprof data to ogs. 0: no report, 1: database report at end of game, 2: report every dota_ogs_report_interval seconds, 11: like 1, but fake report to console (for testing), 12: like 2, but fake report to console (for testing).
dota_ogs_report_vprof_force_now; cmd; ; testing only
dota_ogs_report_vprof_fraction; 0; sv; If nonzero, then only one in this many servers will run vprof if dota_ogs_report_vprof is set.
dota_ogs_snapshot_interval; 300; sv; 
dota_old_client_projectile; 0; cl; 
dota_old_linear_projectile_visibility_check; 0; cl, cheat; 
dota_onstage_stat_cycle_early; 10; cl; 
dota_onstage_stat_cycle_late; 6; cl; 
dota_onstage_stat_cycle_mid; 8; cl; 
dota_onstage_stat_end_early_game_mins; 10; cl; 
dota_onstage_stat_end_mid_game_mins; 25; cl; 
dota_open_party_manual_accept_invites; false; per-user; 
dota_orders_update_bots_immediately; 1; sv, cheat; 
dota_overhead_damage_threshold_percent; 15; sv; 
dota_pain_debug; 0; cl; 
dota_pain_factor; 0; cl; 
dota_pain_fade_rate; 0; cl; 
dota_particle_camera_cull_distance; 3200; cl, cheat; 
dota_particle_fow_debug; 0; cl, cheat; 
dota_particle_off_camera_simrate; 0; cl, cheat; 
dota_particle_offset_x; 0; cl; 
dota_particle_offset_y; 300; cl; 
dota_particle_vis_check_interpolation; 1; cl, cheat; 
dota_party_debug; cmd; ; Prints local party objects
dota_pause; cmd; ; Send a game pause request.
dota_pause_cooldown; 2; sv, cheat; 
dota_pause_cooldown_time; 300; sv; Number of seconds before a player is allowed to pause again
dota_pause_count; 3; sv; Number of times a player is allowed to pause the game
dota_pause_countdown; 3; sv, cheat; 
dota_pause_force_unpause_time; 300; sv; Number of seconds after which the game will automatically unpause
dota_pause_game_pause_silently; 0; sv, rep, cheat; 
dota_pause_requires_full_team_picked; 1; sv; Players are only able to pause once their entire has picked.
dota_pause_same_team_resume_time; 5; sv; Number of seconds resuming is restricted to the same team, after that either team can pause
dota_pause_same_team_resume_time_disconnected; 30; sv; Number of seconds resuming is restricted to the same team if someone disconnected, after that either team can pause
dota_pet_aatest_threat; -1; sv, cheat; 
dota_pet_allow_infront; 1; sv, cheat; 
dota_pet_creepdist_maxthreat; 0; sv, cheat; 
dota_pet_creepdist_minthreat; 0; sv, cheat; 
dota_pet_debug; 0; sv, cheat; 
dota_pet_decay_rate; 0; sv, cheat; 
dota_pet_dist_cone; 50; sv, cheat; 
dota_pet_dist_max; 400; sv, cheat; 
dota_pet_dist_min; 200; sv, cheat; 
dota_pet_dist_range; 400; sv, cheat; 
dota_pet_dmg_threshold_panic; 200; sv, cheat; 
dota_pet_emote_maxtime; 30; sv, cheat; 
dota_pet_emote_mintime; 10; sv, cheat; 
dota_pet_fleedir_persist_time; 2; sv, cheat; 
dota_pet_herodist_maxthreat; 0; sv, cheat; 
dota_pet_herodist_minthreat; 0; sv, cheat; 
dota_pet_herodist_radius; 1024; sv, cheat; 
dota_pet_itemcarry; 120; sv, cheat; 
dota_pet_priorthreat_to_vanish; 0; sv, cheat; 
dota_pet_reposition_maxtime; 7; sv, cheat; 
dota_pet_reposition_mintime; 4; sv, cheat; 
dota_pet_return_threshold; 0; sv, cheat; 
dota_pet_return_threshold_time; 10; sv, cheat; 
dota_pet_threat_rate; 1; sv, cheat; 
dota_pet_threat_time; 1; sv, cheat; 
dota_ping; cmd; ; Print out latency information
dota_play_spectate_hero_pick_lines; 1; cl, a; 
dota_player_add_summoned_to_selection; false; per-user; 
dota_player_auto_repeat_right_mouse; false; per-user; 
dota_player_multipler_orders; false; per-user; 
dota_player_simplified_controls; 0; cl, a; 
dota_player_smart_multiunit_cast; 0; cl, a; 
dota_player_status; cmd; ; Gives a status update on all players.
dota_player_teleport_requires_halt; false; per-user; 
dota_player_units_auto_attack_mode; 0; per-user; 
dota_poor_network_detection_debug_level; 2; sv; Spew verbosity for poor network condition detection
dota_poor_network_detection_loss_pct; 0; sv; Packet loss threshold (0...1) for declaring a QoS stat interval to be 'bad'
dota_poor_network_detection_max_intervals_player; 5; sv; Max number of bad intervals to count for a player
dota_poor_network_detection_min_intervals_player; 3; sv; Player must have at least N bad intervals to count
dota_poor_network_detection_num_intervals_team; 11; sv; Number of QoS stats intervals that must be 'bad' on each team.
dota_poor_network_detection_num_intervals_total; 25; sv; Number of QoS stats intervals that must be 'bad' over the whole match.
dota_portrait_animate; 0; cl; 
dota_portrait_debug_draw_frustum; 1; cl, cheat; 
dota_portrait_debug_item_def_index; 0; cl, cheat; Enables icon modification shader for specific item def index.
dota_portrait_debug_no_modifier; 0; cl, cheat; 
dota_portrait_hide_background; 0; cl, cheat; Disable portrait backgrounds. Mostly useful for rendering portrait movies with alpha.
dota_portrait_hide_hero; 0; cl, cheat; 
dota_portrait_model; cmd; ; Sets the model used in the portrait editor
dota_portrait_reload; cmd; ; Reload portrait data
dota_portrait_reload_fullbody; cmd; ; Reloads full body portrait data.
dota_portrait_test_pet; 0; cl, cheat; Set to 1 to make the pet show up once.
dota_post_game; cmd; ; Show post game lobby with a historical matchid
dota_post_game_lobby; cmd; ; Show post game lobby with current lobby
dota_post_game_survey_player_count; 3; sv; The first N player id slots will be surveyed for match quality
dota_postgame_finish_replay_time; 15; sv; How long to wait after the end scoreboard panel to finish the replay
dota_preview_hero; cmd; ; Pick hero for previewing
dota_preview_hero_pitch_offset; 0; cl, cheat; 
dota_preview_hero_roll_offset; 0; cl, cheat; 
dota_preview_hero_scale; -1; cl, cheat; 
dota_preview_hero_x_offset; 0; cl, cheat; 
dota_preview_hero_y_offset; 0; cl, cheat; 
dota_preview_hero_yaw_offset; 0; cl, cheat; 
dota_preview_hero_z_offset; 0; cl, cheat; 
dota_privatebeta_teamswap; 0; sv; 
dota_profile_hero_stats_sort_priorities; -5; cl, a; 
dota_projection_audio_channel; 1; cl; 
dota_projection_check_fow; 1; cl; 
dota_projection_continue_offscreen_abilities; 1; cl, a; 
dota_projection_embargo_enabled; 1; cl, a; 
dota_projection_embargo_time; 0; cl, a; 
dota_projection_enabled; 1; sv, a; 
dota_projection_failsafe_timeout; 10; cl; 
dota_projection_hero_pick_abilities; 0; cl, a; 
dota_projection_hero_pick_max_time; 3; cl, a; 
dota_projection_max_medium_layer; 2; cl; 
dota_projection_max_top_layer; 1; cl; 
dota_projection_multikill; 1; cl; 
dota_projection_multikill_time; 3; cl; 
dota_projection_note_base_layer_day; 100; cl; 
dota_projection_note_base_layer_day_flipped; 101; cl; 
dota_projection_note_base_layer_dire_win; 106; cl; 
dota_projection_note_base_layer_dire_win_flipped; 107; cl; 
dota_projection_note_base_layer_night; 102; cl; 
dota_projection_note_base_layer_night_flipped; 103; cl; 
dota_projection_note_base_layer_pick; 112; cl; 
dota_projection_note_base_layer_radiant_win; 104; cl; 
dota_projection_note_base_layer_radiant_win_flipped; 105; cl; 
dota_projection_note_first_blood_stage_left; 110; cl; 
dota_projection_note_first_blood_stage_right; 111; cl; 
dota_projection_note_first_blood_time; 3; cl; 
dota_projection_note_pick_highlight_stage_left; 108; cl; 
dota_projection_note_pick_highlight_stage_right; 109; cl; 
dota_projection_note_picks_transition; 113; cl; 
dota_projection_note_picks_transition_flipped; 114; cl; 
dota_projection_note_rampage; 117; cl; 
dota_projection_note_triple_kill; 115; cl; 
dota_projection_note_ultra_kill; 116; cl; 
dota_projection_picks_transition_time; 3; cl; 
dota_projection_video_channel; 0; cl; 
dota_purchase_force_failure; 0; cl; 
dota_purchase_gc_timeout; 5; cl; 
dota_purchase_quickbuy; cmd; ; Attempt to purchase an item out of the quickbuy. Priority is left to right, skips over items not purchasable due to secret shop
dota_purchase_stickybuy; cmd; ; Attempt to purchase an item out of the sticky slot. Skips over items not purchasable due to secret shop
dota_query_inhibit_time; 0; cl; 
dota_quest_challenge_selected; 0; per-user; 
dota_quest_selected; 0; per-user; 
dota_quickcast_onkeydown; true; per-user; 
dota_quit_after_game; 1; sv; Quit after a game is completed, do not hibernate
dota_quit_on_hibernate_after_lobby; 1; sv; Always terminate after receiving a lobby, do not rehibernate
dota_radar; cmd; ; Activate radar mode
dota_random_strength; 0; sv; 
dota_range_display; 0; cl; Displays a ring around the hero at the specified radius
dota_rare_line_click_count; 5; cl; 
dota_realtime_stat_keyframe_interval_s; 10; sv; How often the server generates a keyframe of realtime stats
dota_realtime_stat_update_interval_s; 1; sv; How often the server updates internal game state and checks whether it should update the GC with realtime stats
dota_recent_event; cmd; ; 
dota_reconnect_idle_buffer_time; 45; sv; How much extra time the player has after reconnecting before he gets marked as AFK.
dota_record_blend_scale; 1; cl; Scales rate of crossfade between 1st and 3rd idle cycles.  A value of 10 means the 1st cycle is fully blended in by 1/10th of animation
dota_record_hero; cmd; ; Pick hero for recording
dota_record_hero_next; cmd; ; Switch to next hero
dota_record_hero_prev; cmd; ; Switch to prev hero
dota_record_mode_webm; 0; cl, cheat; Don't use this directly, use the dota_record_webm command.
dota_record_webm; cmd; ; Record a hero for a transparent webm movie.
dota_recorder_auto_advance; 1; cl, cheat; Automatically start recording the next hero when the current ends
dota_recorder_cycles; 3; cl, cheat; How many cycles of the animation to record
dota_recorder_mode; 1; cl, cheat; 0 = avi of idle anim, 1 = tga sequence of idle anim, 2 = single tga from start of idle anim, 3 = PNG sequence of anim
dota_recorder_particle_settle_frames; 10; cl, cheat; Number of frames to render the portrait for in order for particle systems to settle.
dota_recorder_use_card_portrait; 0; cl, cheat; Use the hero selector card portrait setup
dota_recorder_use_default_items; 1; sv, cheat; Use default items only when recording heroes.
dota_recorder_use_fullbody_portrait; 0; cl, cheat; Use the fullbody portrait setup. If 2, use Morphling's position for all heroes.
dota_recorder_use_portrait_file; 0; cl, cheat; Load camera setup from a specific portrait file
dota_recorder_use_portrait_position; 1; cl, cheat; Use camera position/activity from the portrait setup
dota_redeem_item_code; cmd; ; Redeem a legacy Dota item code.
dota_ref_winner_dire; cmd; ; Causes the dire team to win
dota_ref_winner_radiant; cmd; ; Causes the radiant team to win
dota_reload_podseats; cmd; ; Reload ti_podseats.txt data
dota_remap_alt_key; 0; cl; Specify a key to use instead of the alt key in-game.
dota_render_bottom_inset; 117; cl; 
dota_render_top_inset; 31; cl; 
dota_replay_manager_download_chunk_size; 1048576; cl, a; 
dota_replay_manager_download_simultaneous_requests; 3; cl, a; 
dota_replay_upload_script; 0; sv; Name of the script used to upload replay files
dota_reset_camera_on_spawn; false; per-user; 
dota_respawn_roshan; cmd; ; Respawn Roshan
dota_restrict_partner_type_chat; 1; sv; Disallow chat between certain partner types
dota_roshan_upgrade_rate; 240; sv, rep, cheat; 
dota_rp_hide_party_unless_open; false; per-user; 
dota_saved_camera_pos_1; [-2230.0000001630.0000000.000000]; per-user; 
dota_saved_camera_pos_10; [0.0000000.0000000.000000]; per-user; 
dota_saved_camera_pos_2; [2800.000000-2345.0000000.000000]; per-user; 
dota_saved_camera_pos_3; [3870.000000-1930.0000000.000000]; per-user; 
dota_saved_camera_pos_4; [-6220.0000003645.0000000.000000]; per-user; 
dota_saved_camera_pos_5; [-530.000000-400.0000000.000000]; per-user; 
dota_saved_camera_pos_6; [6145.000000-2840.0000000.000000]; per-user; 
dota_saved_camera_pos_7; [0.0000000.0000000.000000]; per-user; 
dota_saved_camera_pos_8; [0.0000000.0000000.000000]; per-user; 
dota_saved_camera_pos_9; [0.0000000.0000000.000000]; per-user; 
dota_saved_camera_pos_doublepress_time; 2.000000; per-user; 
dota_scale_unit; cmd; ; Scales the unit to the target multiplier
dota_scoreboard_buyback_border; 1; cl; 
dota_screen_shake; false; per-user; 
dota_script_function_help; cmd; ; Get help on registered script API functions and tables.
dota_scripted_replay; 0; cl; 
dota_scripted_replay_camspeed; 1; cl; 
dota_scripted_replay_file; 0; cl; 
dota_select_all; cmd; ; 
dota_select_all_others; cmd; ; 
dota_select_courier; cmd; ; attempt to select a courier
dota_select_scale; 0; sv, rep; 
dota_selected_division; 1; machine; 
dota_selection_stage_enable; 0; sv, rep; 
dota_selection_test; 1; cl; 
dota_selector_advfilter_attack; 0; cl; Stores the attack filter of the Hero Selector.
dota_selector_advfilter_myhero; 0; cl; Stores the stats filter of the Hero Selector.
dota_selector_advfilter_role; 0; cl; Stores the role filter of the Hero Selector.
